formula,metric_name,metric_value
tarantula,density,0.14476102941176472
tarantula,uniqueness,0.07668067226890757
tarantula,coverage,0.011554621848739496
ochiai,density,0.14476102941176472
ochiai,uniqueness,0.07668067226890757
ochiai,coverage,0.011554621848739496
opt,density,0.14476102941176472
opt,uniqueness,0.07668067226890757
opt,coverage,0.011554621848739496
barinel,density,0.14476102941176472
barinel,uniqueness,0.07668067226890757
barinel,coverage,0.011554621848739496
dstar,density,0.14476102941176472
dstar,uniqueness,0.07668067226890757
dstar,coverage,0.011554621848739496
