formula,metric_name,metric_value
tarantula,density,0.060934092728393584
tarantula,uniqueness,0.02800230946882217
tarantula,coverage,0.012702078521939953
ochiai,density,0.060934092728393584
ochiai,uniqueness,0.02800230946882217
ochiai,coverage,0.012702078521939953
opt,density,0.060934092728393584
opt,uniqueness,0.02800230946882217
opt,coverage,0.012702078521939953
barinel,density,0.060934092728393584
barinel,uniqueness,0.02800230946882217
barinel,coverage,0.012702078521939953
dstar,density,0.060934092728393584
dstar,uniqueness,0.02800230946882217
dstar,coverage,0.012702078521939953
