formula,metric_name,metric_value
tarantula,density,0.024310410796897282
tarantula,uniqueness,0.03333333333333333
tarantula,coverage,0.015315315315315315
ochiai,density,0.024310410796897282
ochiai,uniqueness,0.03333333333333333
ochiai,coverage,0.015315315315315315
opt,density,0.024310410796897282
opt,uniqueness,0.03333333333333333
opt,coverage,0.015315315315315315
barinel,density,0.024310410796897282
barinel,uniqueness,0.03333333333333333
barinel,coverage,0.015315315315315315
dstar,density,0.024310410796897282
dstar,uniqueness,0.03333333333333333
dstar,coverage,0.015315315315315315
