formula,metric_name,metric_value
tarantula,density,0.04593776597013976
tarantula,uniqueness,0.03801732435033686
tarantula,coverage,0.007539300609560475
ochiai,density,0.04593776597013976
ochiai,uniqueness,0.03801732435033686
ochiai,coverage,0.007539300609560475
opt,density,0.04593776597013976
opt,uniqueness,0.03801732435033686
opt,coverage,0.007539300609560475
barinel,density,0.04593776597013976
barinel,uniqueness,0.03801732435033686
barinel,coverage,0.007539300609560475
dstar,density,0.04593776597013976
dstar,uniqueness,0.03801732435033686
dstar,coverage,0.007539300609560475
