formula,metric_name,metric_value
tarantula,density,0.016194076874606174
tarantula,uniqueness,0.01932367149758454
tarantula,coverage,0.00966183574879227
ochiai,density,0.016194076874606174
ochiai,uniqueness,0.01932367149758454
ochiai,coverage,0.00966183574879227
opt,density,0.016194076874606174
opt,uniqueness,0.01932367149758454
opt,coverage,0.00966183574879227
barinel,density,0.016194076874606174
barinel,uniqueness,0.01932367149758454
barinel,coverage,0.00966183574879227
dstar,density,0.016194076874606174
dstar,uniqueness,0.01932367149758454
dstar,coverage,0.00966183574879227
