formula,metric_name,metric_value
tarantula,density,0.04318288049388887
tarantula,uniqueness,0.04047093451066961
tarantula,coverage,0.013245033112582781
ochiai,density,0.04318288049388887
ochiai,uniqueness,0.04047093451066961
ochiai,coverage,0.013245033112582781
opt,density,0.04318288049388887
opt,uniqueness,0.04047093451066961
opt,coverage,0.013245033112582781
barinel,density,0.04318288049388887
barinel,uniqueness,0.04047093451066961
barinel,coverage,0.013245033112582781
dstar,density,0.04318288049388887
dstar,uniqueness,0.04047093451066961
dstar,coverage,0.013245033112582781
