formula,metric_name,metric_value
tarantula,density,0.0077870322711462575
tarantula,uniqueness,0.12608987256874582
tarantula,coverage,0.006036217303822937
ochiai,density,0.0077870322711462575
ochiai,uniqueness,0.12608987256874582
ochiai,coverage,0.006036217303822937
opt,density,0.0077870322711462575
opt,uniqueness,0.12608987256874582
opt,coverage,0.006036217303822937
barinel,density,0.0077870322711462575
barinel,uniqueness,0.12608987256874582
barinel,coverage,0.006036217303822937
dstar,density,0.0077870322711462575
dstar,uniqueness,0.12608987256874582
dstar,coverage,0.006036217303822937
