formula,metric_name,metric_value
tarantula,density,0.03232954634823794
tarantula,uniqueness,0.0704529115744069
tarantula,coverage,0.011502516175413372
ochiai,density,0.03232954634823794
ochiai,uniqueness,0.0704529115744069
ochiai,coverage,0.011502516175413372
opt,density,0.03232954634823794
opt,uniqueness,0.0704529115744069
opt,coverage,0.011502516175413372
barinel,density,0.03232954634823794
barinel,uniqueness,0.0704529115744069
barinel,coverage,0.011502516175413372
dstar,density,0.03232954634823794
dstar,uniqueness,0.0704529115744069
dstar,coverage,0.011502516175413372
