formula,metric_name,metric_value
tarantula,density,0.01180853045259825
tarantula,uniqueness,0.07536319612590799
tarantula,coverage,0.005447941888619854
ochiai,density,0.01180853045259825
ochiai,uniqueness,0.07536319612590799
ochiai,coverage,0.005447941888619854
opt,density,0.01180853045259825
opt,uniqueness,0.07536319612590799
opt,coverage,0.005447941888619854
barinel,density,0.01180853045259825
barinel,uniqueness,0.07536319612590799
barinel,coverage,0.005447941888619854
dstar,density,0.01180853045259825
dstar,uniqueness,0.07536319612590799
dstar,coverage,0.005447941888619854
