formula,metric_name,metric_value
tarantula,density,0.02516289841419375
tarantula,uniqueness,0.09747474747474748
tarantula,coverage,0.011868686868686869
ochiai,density,0.02516289841419375
ochiai,uniqueness,0.09747474747474748
ochiai,coverage,0.011868686868686869
opt,density,0.02516289841419375
opt,uniqueness,0.09747474747474748
opt,coverage,0.011868686868686869
barinel,density,0.02516289841419375
barinel,uniqueness,0.09747474747474748
barinel,coverage,0.011868686868686869
dstar,density,0.02516289841419375
dstar,uniqueness,0.09747474747474748
dstar,coverage,0.011868686868686869
