formula,metric_name,metric_value
tarantula,density,0.34186241610738255
tarantula,uniqueness,0.15436241610738255
tarantula,coverage,0.013422818791946308
ochiai,density,0.34186241610738255
ochiai,uniqueness,0.15436241610738255
ochiai,coverage,0.013422818791946308
opt,density,0.34186241610738255
opt,uniqueness,0.15436241610738255
opt,coverage,0.013422818791946308
barinel,density,0.34186241610738255
barinel,uniqueness,0.15436241610738255
barinel,coverage,0.013422818791946308
dstar,density,0.34186241610738255
dstar,uniqueness,0.15436241610738255
dstar,coverage,0.013422818791946308
