name;suspiciousness_value
org.apache.commons.math.ode$AbstractIntegrator#AbstractIntegrator():79;0.0
org.apache.commons.math.ode$AbstractIntegrator#AbstractIntegrator():80;0.0
org.apache.commons.math.ode$AbstractIntegrator#getMaxEvaluations():150;0.0
org.apache.commons.math.ode.nonstiff$AdaptiveStepsizeIntegrator#setInitialStepSize(double):165;0.0
org.apache.commons.math.ode.nonstiff$AdaptiveStepsizeIntegrator#initializeStep(org.apache.commons.math.ode.FirstOrderDifferentialEquations,boolean,int,double[],double,double[],double[],double[],double[]):274;0.0
org.apache.commons.math.ode.nonstiff$AdaptiveStepsizeIntegrator#filterStep(double,boolean,boolean):299;0.0
org.apache.commons.math.ode.sampling$AbstractStepInterpolator#writeBaseExternal(java.io.ObjectOutput):375;0.0
org.apache.commons.math.ode.sampling$AbstractStepInterpolator#writeBaseExternal(java.io.ObjectOutput):398;0.0
org.apache.commons.math.ode.sampling$AbstractStepInterpolator#writeBaseExternal(java.io.ObjectOutput):399;0.0
org.apache.commons.math.ode.sampling$AbstractStepInterpolator#readBaseExternal(java.io.ObjectInput):424;0.0
org.apache.commons.math.ode.nonstiff$RungeKuttaStepInterpolator#readExternal(java.io.ObjectInput):178;0.0
org.apache.commons.math.ode.events$CombinedEventsManager#evaluateStep(org.apache.commons.math.ode.sampling.StepInterpolator):132;0.0
org.apache.commons.math.ode.events$CombinedEventsManager#evaluateStep(org.apache.commons.math.ode.sampling.StepInterpolator):158;0.0
org.apache.commons.math.ode.events$CombinedEventsManager#evaluateStep(org.apache.commons.math.ode.sampling.StepInterpolator):161;0.0
org.apache.commons.math.ode.events$CombinedEventsManager#evaluateStep(org.apache.commons.math.ode.sampling.StepInterpolator):162;0.0
org.apache.commons.math.ode.events$CombinedEventsManager#stepAccepted(double,double[]):205;0.0
org.apache.commons.math.ode.events$CombinedEventsManager#stepAccepted(double,double[]):206;0.0
org.apache.commons.math.ode.events$CombinedEventsManager#reset(double,double[]):242;0.0
org.apache.commons.math.ode.events$CombinedEventsManager#reset(double,double[]):243;0.0
org.apache.commons.math.ode$AbstractIntegrator$EndTimeChecker#resetState(double,double[]):270;0.0
org.apache.commons.math.ode.events$EventState#evaluateStep(org.apache.commons.math.ode.sampling.StepInterpolator):200;0.0
org.apache.commons.math.ode.events$EventState#evaluateStep(org.apache.commons.math.ode.sampling.StepInterpolator):201;0.0
org.apache.commons.math.ode.events$EventState#evaluateStep(org.apache.commons.math.ode.sampling.StepInterpolator):202;0.0
org.apache.commons.math.ode.events$EventState#evaluateStep(org.apache.commons.math.ode.sampling.StepInterpolator):203;0.0
org.apache.commons.math.ode.events$EventState#evaluateStep(org.apache.commons.math.ode.sampling.StepInterpolator):204;0.0
org.apache.commons.math.ode.events$EventState#evaluateStep(org.apache.commons.math.ode.sampling.StepInterpolator):206;0.0
org.apache.commons.math.ode.events$EventState#evaluateStep(org.apache.commons.math.ode.sampling.StepInterpolator):208;0.0
org.apache.commons.math.ode.events$EventState#evaluateStep(org.apache.commons.math.ode.sampling.StepInterpolator):234;0.0
org.apache.commons.math.ode.events$EventState#evaluateStep(org.apache.commons.math.ode.sampling.StepInterpolator):235;0.0
org.apache.commons.math.ode.events$EventState#evaluateStep(org.apache.commons.math.ode.sampling.StepInterpolator):252;0.0
org.apache.commons.math.ode.events$EventState#evaluateStep(org.apache.commons.math.ode.sampling.StepInterpolator):265;0.0
org.apache.commons.math.ode.events$EventState#evaluateStep(org.apache.commons.math.ode.sampling.StepInterpolator):266;0.0
