formula,metric_name,metric_value
tarantula,density,0.34302121176608463
tarantula,uniqueness,0.11410601976639713
tarantula,coverage,0.022461814914645103
ochiai,density,0.34302121176608463
ochiai,uniqueness,0.11410601976639713
ochiai,coverage,0.022461814914645103
opt,density,0.34302121176608463
opt,uniqueness,0.11410601976639713
opt,coverage,0.022461814914645103
barinel,density,0.34302121176608463
barinel,uniqueness,0.11410601976639713
barinel,coverage,0.022461814914645103
dstar,density,0.34302121176608463
dstar,uniqueness,0.11410601976639713
dstar,coverage,0.022461814914645103
