formula,metric_name,metric_value
tarantula,density,0.28670838384169317
tarantula,uniqueness,0.12188841201716738
tarantula,coverage,0.02317596566523605
ochiai,density,0.28670838384169317
ochiai,uniqueness,0.12188841201716738
ochiai,coverage,0.02317596566523605
opt,density,0.28670838384169317
opt,uniqueness,0.12188841201716738
opt,coverage,0.02317596566523605
barinel,density,0.28670838384169317
barinel,uniqueness,0.12188841201716738
barinel,coverage,0.02317596566523605
dstar,density,0.28670838384169317
dstar,uniqueness,0.12188841201716738
dstar,coverage,0.02317596566523605
