formula,metric_name,metric_value
tarantula,density,0.12421383647798742
tarantula,uniqueness,0.16981132075471697
tarantula,coverage,0.022641509433962263
ochiai,density,0.12421383647798742
ochiai,uniqueness,0.16981132075471697
ochiai,coverage,0.022641509433962263
opt,density,0.12421383647798742
opt,uniqueness,0.16981132075471697
opt,coverage,0.022641509433962263
barinel,density,0.12421383647798742
barinel,uniqueness,0.16981132075471697
barinel,coverage,0.022641509433962263
dstar,density,0.12421383647798742
dstar,uniqueness,0.16981132075471697
dstar,coverage,0.022641509433962263
