formula,metric_name,metric_value
tarantula,density,0.10620175672078787
tarantula,uniqueness,0.01256913021618904
tarantula,coverage,0.009552538964303671
ochiai,density,0.10620175672078787
ochiai,uniqueness,0.01256913021618904
ochiai,coverage,0.009552538964303671
opt,density,0.10620175672078787
opt,uniqueness,0.01256913021618904
opt,coverage,0.009552538964303671
barinel,density,0.10620175672078787
barinel,uniqueness,0.01256913021618904
barinel,coverage,0.009552538964303671
dstar,density,0.10620175672078787
dstar,uniqueness,0.01256913021618904
dstar,coverage,0.009552538964303671
