formula,metric_name,metric_value
tarantula,density,0.02477860004548715
tarantula,uniqueness,0.07381864623243933
tarantula,coverage,0.019412515964240103
ochiai,density,0.02477860004548715
ochiai,uniqueness,0.07381864623243933
ochiai,coverage,0.019412515964240103
opt,density,0.02477860004548715
opt,uniqueness,0.07381864623243933
opt,coverage,0.019412515964240103
barinel,density,0.02477860004548715
barinel,uniqueness,0.07381864623243933
barinel,coverage,0.019412515964240103
dstar,density,0.02477860004548715
dstar,uniqueness,0.07381864623243933
dstar,coverage,0.019412515964240103
