formula,metric_name,metric_value
tarantula,density,0.0576828456484617
tarantula,uniqueness,0.020534861509073542
tarantula,coverage,0.010506208213944603
ochiai,density,0.0576828456484617
ochiai,uniqueness,0.020534861509073542
ochiai,coverage,0.010506208213944603
opt,density,0.0576828456484617
opt,uniqueness,0.020534861509073542
opt,coverage,0.010506208213944603
barinel,density,0.0576828456484617
barinel,uniqueness,0.020534861509073542
barinel,coverage,0.010506208213944603
dstar,density,0.0576828456484617
dstar,uniqueness,0.020534861509073542
dstar,coverage,0.010506208213944603
