formula,metric_name,metric_value
tarantula,density,0.011414607702619043
tarantula,uniqueness,0.09094034725803679
tarantula,coverage,0.015643802647412757
ochiai,density,0.011414607702619043
ochiai,uniqueness,0.09094034725803679
ochiai,coverage,0.015643802647412757
opt,density,0.011414607702619043
opt,uniqueness,0.09094034725803679
opt,coverage,0.015643802647412757
barinel,density,0.011414607702619043
barinel,uniqueness,0.09094034725803679
barinel,coverage,0.015643802647412757
dstar,density,0.011414607702619043
dstar,uniqueness,0.09094034725803679
dstar,coverage,0.015643802647412757
