name;suspiciousness_value
org.mockito.exceptions$Reporter#cannotInjectDependency(java.lang.reflect.Field,java.lang.Object,java.lang.Exception):667;1.0
org.mockito.exceptions$Reporter#cannotInjectDependency(java.lang.reflect.Field,java.lang.Object,java.lang.Exception):668;1.0
org.mockito.exceptions$Reporter#cannotInjectDependency(java.lang.reflect.Field,java.lang.Object,java.lang.Exception):670;1.0
org.mockito.exceptions$Reporter#cannotInjectDependency(java.lang.reflect.Field,java.lang.Object,java.lang.Exception):671;1.0
org.mockito.exceptions$Reporter#exceptionCauseMessageIfAvailable(java.lang.Exception):677;1.0
org.mockito.internal.stubbing$BaseStubbing#thenCallRealMethod():72;4.243338480591774E-8
org.mockito.exceptions$Reporter#noMoreInteractionsWantedInOrder(org.mockito.invocation.Invocation):431;1.1077200472554553E-9
org.mockito.exceptions$Reporter#noMoreInteractionsWantedInOrder(org.mockito.invocation.Invocation):434;1.1077200472554553E-9
org.mockito.internal.configuration$MockAnnotationProcessor#process(org.mockito.Mock,java.lang.reflect.Field):28;3.1541282376063686E-11
org.mockito.internal.configuration$MockAnnotationProcessor#process(org.mockito.Mock,java.lang.reflect.Field):20;4.462852093556234E-12
org.mockito.exceptions$Reporter#safelyGetMockName(java.lang.Object):799;1.3513057093104018E-12
org.mockito.internal.util$MockCreationValidator#validateSerializable(java.lang.Class,boolean):61;1.0092867010147072E-12
org.mockito.internal.util$MockCreationValidator#validateExtraInterfaces(java.lang.Class,java.util.Collection):34;2.830587654571327E-13
org.mockito.internal.exceptions.util$ScenarioPrinter#print(java.util.List):15;2.1353931710042417E-13
org.mockito.internal.util$MockCreationValidator#validateExtraInterfaces(java.lang.Class,java.util.Collection):31;1.440229807551673E-13
org.mockito.internal.creation$MockSettingsImpl#extraInterfaces(java.lang.Class[]):54;1.440229807551673E-13
org.mockito.internal.creation$MockSettingsImpl#extraInterfaces(java.lang.Class[]):55;1.440229807551673E-13
org.mockito.internal.util.collections$Sets#newSet(java.lang.Object[]):28;1.440229807551673E-13
org.mockito.internal.util.collections$Sets#newSet(java.lang.Object[]):31;1.440229807551673E-13
org.mockito.internal.creation$MockSettingsImpl#prepareExtraInterfaces(org.mockito.internal.creation.settings.CreationSettings):188;6.02209099910478E-14
org.mockito.exceptions$Reporter#noMoreInteractionsWanted(org.mockito.invocation.Invocation,java.util.List):418;3.5957529041092366E-14
org.mockito.exceptions$Reporter#noMoreInteractionsWanted(org.mockito.invocation.Invocation,java.util.List):419;3.5957529041092366E-14
org.mockito.exceptions$Reporter#noMoreInteractionsWanted(org.mockito.invocation.Invocation,java.util.List):421;3.5957529041092366E-14
org.mockito.exceptions$Reporter#noMoreInteractionsWanted(org.mockito.invocation.Invocation,java.util.List):424;3.5957529041092366E-14
org.mockito$Matchers#anyObject():200;3.5957529041092366E-14
org.mockito.internal.creation$MockSettingsImpl#extraInterfaces(java.lang.Class[]):47;3.1274278501374825E-14
org.mockito.internal.creation$MockSettingsImpl#extraInterfaces(java.lang.Class[]):48;3.1274278501374825E-14
org.mockito.internal.creation$MockSettingsImpl#extraInterfaces(java.lang.Class[]):50;3.1274278501374825E-14
org.mockito.internal.util$MockCreationValidator#validateSerializable(java.lang.Class,boolean):60;2.3240343506356826E-14
org.mockito.internal.creation$MockSettingsImpl#serializable():34;2.3240343506356826E-14
org.mockito.internal.exceptions.util$ScenarioPrinter#ScenarioPrinter():11;1.6750427513706663E-14
org.mockito.internal.exceptions.util$ScenarioPrinter#print(java.util.List):14;1.6750427513706663E-14
org.mockito.internal.exceptions.util$ScenarioPrinter#print(java.util.List):17;1.1061113412434884E-14
org.mockito.internal.exceptions.util$ScenarioPrinter#print(java.util.List):21;1.1061113412434884E-14
org.mockito.internal.exceptions.util$ScenarioPrinter#print(java.util.List):22;1.1061113412434884E-14
org.mockito.internal.exceptions.util$ScenarioPrinter#print(java.util.List):29;1.1061113412434884E-14
org.mockito.internal.exceptions.util$ScenarioPrinter#print(java.util.List):30;1.1061113412434884E-14
org.mockito.internal.creation$MockSettingsImpl#extraInterfaces(java.lang.Class[]):43;1.0564336363228716E-14
org.mockito$Mockito#verifyZeroInteractions(java.lang.Object[]):1674;1.075973998585662E-15
org.mockito.internal.creation.cglib$MethodInterceptorFilter#createMockitoMethodProxy(org.mockito.cglib.proxy.MethodProxy):72;9.197983062447533E-16
org.mockito.internal.creation.cglib$MethodInterceptorFilter#createMockitoMethod(java.lang.reflect.Method):78;9.197983062447533E-16
org.mockito$Mockito#mock(java.lang.Class,org.mockito.stubbing.Answer):1257;8.399189096766504E-16
org.mockito.internal.creation$MockSettingsImpl#serializable(org.mockito.mock.SerializableMode):38;1.7501347511252714E-16
org.mockito.internal.creation$MockSettingsImpl#serializable(org.mockito.mock.SerializableMode):39;1.7501347511252714E-16
org.mockito.internal.verification$NoMoreInteractions#verify(org.mockito.internal.verification.api.VerificationData):24;1.5745972824004866E-16
org.mockito.internal.invocation$InvocationsFinder#findFirstUnverified(java.util.List,java.lang.Object):100;3.068336310584807E-17
org.mockito.internal.invocation$SerializableMethod#isVarArgs():53;9.236556742333365E-21
org.mockito.internal.invocation$SerializableMethod#SerializableMethod(java.lang.reflect.Method):26;6.129020220781715E-21
org.mockito.internal.invocation$SerializableMethod#SerializableMethod(java.lang.reflect.Method):27;6.129020220781715E-21
org.mockito.internal.invocation$SerializableMethod#SerializableMethod(java.lang.reflect.Method):28;6.129020220781715E-21
org.mockito.internal.invocation$SerializableMethod#SerializableMethod(java.lang.reflect.Method):29;6.129020220781715E-21
org.mockito.internal.invocation$SerializableMethod#SerializableMethod(java.lang.reflect.Method):30;6.129020220781715E-21
org.mockito.internal.invocation$SerializableMethod#SerializableMethod(java.lang.reflect.Method):31;6.129020220781715E-21
org.mockito.internal.invocation$SerializableMethod#SerializableMethod(java.lang.reflect.Method):32;6.129020220781715E-21
org.mockito.internal.invocation$SerializableMethod#SerializableMethod(java.lang.reflect.Method):33;6.129020220781715E-21
org.mockito.internal.invocation$SerializableMethod#SerializableMethod(java.lang.reflect.Method):34;6.129020220781715E-21
org.mockito.internal.stubbing.defaultanswers$ReturnsEmptyValues#returnValueFor(java.lang.Class):85;5.0137539016453396E-21
org.mockito.internal.invocation$SerializableMethod#getJavaMethod():62;2.419451475193322E-21
org.mockito.internal.invocation$InvocationsFinder#findFirstUnverified(java.util.List,java.lang.Object):98;1.6030111927559206E-21
org.mockito.internal.invocation$InvocationsFinder#findFirstUnverified(java.util.List,java.lang.Object):99;1.6030111927559206E-21
org.mockito.internal$MockitoCore#verifyNoMoreInteractions(java.lang.Object[]):112;8.768794085198974E-22
org.mockito.internal$MockitoCore#verifyNoMoreInteractions(java.lang.Object[]):113;8.768794085198974E-22
org.mockito.internal.verification$NoMoreInteractions#verify(org.mockito.internal.verification.api.VerificationData):22;8.768794085198974E-22
org.mockito.internal.verification$NoMoreInteractions#verify(org.mockito.internal.verification.api.VerificationData):23;8.768794085198974E-22
org.mockito.internal.verification$VerificationDataImpl#assertWantedIsVerifiable():37;8.768794085198974E-22
org.mockito.internal$MockitoCore#verifyNoMoreInteractions(java.lang.Object[]):111;5.694568238663153E-22
org.mockito.internal.invocation$InvocationsFinder#findFirstUnverified(java.util.List):93;5.694568238663153E-22
org.mockito.internal$MockitoCore#verifyNoMoreInteractions(java.lang.Object[]):106;4.949574721752384E-22
org.mockito.internal$MockitoCore#verifyNoMoreInteractions(java.lang.Object[]):108;4.949574721752384E-22
org.mockito.internal.invocation$InvocationsFinder#findFirstUnverified(java.util.List,java.lang.Object):97;4.949574721752384E-22
org.mockito.internal.verification$VerificationModeFactory#noMoreInteractions():33;3.284067764183957E-22
org.mockito.internal$MockitoCore#verifyNoMoreInteractions(java.lang.Object[]):105;2.5190035375466426E-22
org.mockito.internal$MockitoCore#assertMocksNotEmpty(java.lang.Object[]):131;2.5190035375466426E-22
org.mockito.internal.creation.cglib$ClassImposterizer#setConstructorsAccessible(java.lang.Class,boolean):90;2.51355293874564E-22
org.mockito.internal.creation.cglib$ClassImposterizer#createProxyClass(java.lang.Class,java.lang.Class[]):113;2.51355293874564E-22
org.mockito.internal.creation.cglib$ClassImposterizer#createProxyClass(java.lang.Class,java.lang.Class[]):114;2.51355293874564E-22
org.mockito.internal.verification$NoMoreInteractions#NoMoreInteractions():18;1.9442735423197022E-22
org.mockito.internal$MockitoCore#verifyNoMoreInteractions(java.lang.Object[]):104;1.5096390008406626E-22
org.mockito.internal$MockitoCore#assertMocksNotEmpty(java.lang.Object[]):128;1.5096390008406626E-22
org.mockito.internal.stubbing.answers$Returns#Returns(java.lang.Object):17;1.327089517264266E-22
org.mockito.internal.stubbing.answers$Returns#Returns(java.lang.Object):18;1.327089517264266E-22
org.mockito.internal.stubbing.answers$Returns#Returns(java.lang.Object):19;1.327089517264266E-22
org.mockito.internal.stubbing.answers$Returns#answer(org.mockito.invocation.InvocationOnMock):22;4.361008154655405E-23
org.mockito$Matchers#reportMatcher(org.hamcrest.Matcher):809;1.2939577602744665E-23
org.mockito.internal.progress$ArgumentMatcherStorageImpl#pullLocalizedMatchers():44;9.360021580262952E-24
org.mockito.internal.progress$ArgumentMatcherStorageImpl#pullLocalizedMatchers():45;9.360021580262952E-24
org.mockito.internal.progress$ArgumentMatcherStorageImpl#pullLocalizedMatchers():46;9.360021580262952E-24
org.mockito.internal.invocation$MatchersBinder#validateMatchers(org.mockito.invocation.Invocation,java.util.List):32;9.360021580262952E-24
org.mockito.internal.invocation$MatchersBinder#validateMatchers(org.mockito.invocation.Invocation,java.util.List):33;9.360021580262952E-24
org.mockito.internal.invocation$MatchersBinder#validateMatchers(org.mockito.invocation.Invocation,java.util.List):34;9.360021580262952E-24
org.mockito.internal.stubbing$OngoingStubbingImpl#thenAnswer(org.mockito.stubbing.Answer):29;6.1655306869974314E-24
org.mockito.internal.progress$ArgumentMatcherStorageImpl#reportMatcher(org.hamcrest.Matcher):32;5.858459609469972E-24
org.mockito.internal.progress$ArgumentMatcherStorageImpl#reportMatcher(org.hamcrest.Matcher):33;5.858459609469972E-24
org.mockito.internal.verification$DefaultRegisteredInvocations#isEmpty():48;3.925563514248224E-24
org.mockito.internal.verification$DefaultRegisteredInvocations#isEmpty():49;3.925563514248224E-24
org.mockito.internal.stubbing$OngoingStubbingImpl#thenAnswer(org.mockito.stubbing.Answer):24;3.737706312224951E-24
org.mockito.internal.stubbing$OngoingStubbingImpl#thenAnswer(org.mockito.stubbing.Answer):28;3.737706312224951E-24
org.mockito.internal.stubbing$InvocationContainerImpl#addAnswer(org.mockito.stubbing.Answer):51;3.39073797146884E-24
org.mockito.internal.stubbing$InvocationContainerImpl#hasInvocationForPotentialStubbing():103;3.39073797146884E-24
org.mockito.internal$MockitoCore#stub():70;2.4271079697644872E-24
org.mockito.internal.verification$DefaultRegisteredInvocations#removeLast():31;2.4271079697644872E-24
org.mockito.internal.verification$DefaultRegisteredInvocations#removeLast():32;2.4271079697644872E-24
org.mockito.internal.verification$DefaultRegisteredInvocations#removeLast():33;2.4271079697644872E-24
org.mockito.internal.verification$DefaultRegisteredInvocations#removeLast():35;2.4271079697644872E-24
org.mockito.internal.verification$DefaultRegisteredInvocations#removeLast():36;2.4271079697644872E-24
org.mockito.internal$MockitoCore#when(java.lang.Object):80;2.210038597798046E-24
org.mockito.internal.stubbing$InvocationContainerImpl#addAnswer(org.mockito.stubbing.Answer):49;1.923129463450984E-24
org.mockito.internal.stubbing$InvocationContainerImpl#addAnswer(org.mockito.stubbing.Answer):50;1.923129463450984E-24
org.mockito.internal$MockitoCore#when(java.lang.Object):79;1.836735185115924E-24
org.mockito$Mockito#when(java.lang.Object):1522;1.836735185115924E-24
org.mockito.internal$MockitoCore#stub():65;1.754557620379994E-24
org.mockito.internal$MockitoCore#stub():66;1.754557620379994E-24
org.mockito.internal.invocation$InvocationImpl#isVerified():70;1.254232715549716E-24
org.mockito.internal.progress$ThreadSafeMockingProgress#pullOngoingStubbing():32;6.707161726257356E-25
org.mockito.internal.progress$MockingProgressImpl#pullOngoingStubbing():34;6.707161726257356E-25
org.mockito.internal.progress$MockingProgressImpl#pullOngoingStubbing():35;6.707161726257356E-25
org.mockito.internal.progress$MockingProgressImpl#pullOngoingStubbing():36;6.707161726257356E-25
org.mockito.internal.invocation$InvocationMatcher#InvocationMatcher(org.mockito.invocation.Invocation,java.util.List):36;3.11234840507963E-25
org.mockito.internal.stubbing$InvocationContainerImpl#addAnswer(org.mockito.stubbing.Answer,boolean):63;2.6653776554405035E-25
