formula,metric_name,metric_value
tarantula,density,0.2685392329346106
tarantula,uniqueness,0.33105510465612986
tarantula,coverage,0.0589491670226399
ochiai,density,0.2685392329346106
ochiai,uniqueness,0.33105510465612986
ochiai,coverage,0.0589491670226399
opt,density,0.2685392329346106
opt,uniqueness,0.33105510465612986
opt,coverage,0.0589491670226399
barinel,density,0.2685392329346106
barinel,uniqueness,0.33105510465612986
barinel,coverage,0.0589491670226399
dstar,density,0.2685392329346106
dstar,uniqueness,0.33105510465612986
dstar,coverage,0.0589491670226399
