name;suspiciousness_value
org.mockito.internal.invocation$InvocationMatcher#captureArgumentsFrom(org.mockito.invocation.Invocation):124;3.0517578125E-5
org.mockito$Matchers#any():259;9.552194722495445E-6
org.mockito.internal.matchers$ArrayEquals#createObjectArray(java.lang.Object):70;9.059696640000004E-6
org.mockito.internal.matchers$ArrayEquals#createObjectArray(java.lang.Object):71;9.059696640000004E-6
org.mockito.internal.matchers$ArrayEquals#createObjectArray(java.lang.Object):72;9.059696640000004E-6
org.mockito.internal.matchers$ArrayEquals#createObjectArray(java.lang.Object):74;9.059696640000004E-6
org.mockito.internal.matchers$CapturingMatcher#getAllValues():45;1.966726781432726E-6
org.mockito$ArgumentCaptor#getAllValues():155;1.1150675100201022E-6
org.mockito.internal.stubbing$BaseStubbing#thenCallRealMethod():72;4.243338480591774E-8
org.mockito.internal.invocation$InvocationMatcher#captureArgumentsFrom(org.mockito.invocation.Invocation):122;2.1803178412032885E-8
org.mockito.internal.invocation$InvocationMatcher#captureArgumentsFrom(org.mockito.invocation.Invocation):123;2.1803178412032885E-8
org.mockito.internal.matchers$LocalizedMatcher#getActualMatcher():69;7.552230840701668E-9
org.mockito.internal.invocation$ArgumentsComparator#varArgsMatch(org.mockito.internal.invocation.InvocationMatcher,org.mockito.invocation.Invocation):55;7.552230840701668E-9
org.mockito.internal.invocation$ArgumentsComparator#varArgsMatch(org.mockito.internal.invocation.InvocationMatcher,org.mockito.invocation.Invocation):69;7.552230840701668E-9
org.mockito.internal.invocation$InvocationMatcher#captureArgumentsFrom(org.mockito.invocation.Invocation):130;6.23800220708831E-9
org.mockito.internal.invocation$ArgumentsComparator#varArgsMatch(org.mockito.internal.invocation.InvocationMatcher,org.mockito.invocation.Invocation):64;1.0385685465197641E-9
org.mockito.internal.matchers$LocalizedMatcher#captureFrom(java.lang.Object):63;8.275265038445722E-10
org.mockito.internal.matchers$CapturingMatcher#matches(java.lang.Object):25;8.275265038445722E-10
org.mockito$Matchers#anyObject():200;6.215382992148072E-10
org.mockito.internal.matchers$CapturingMatcher#captureFrom(java.lang.Object):49;5.201036246269784E-10
org.mockito.internal.matchers$CapturingMatcher#captureFrom(java.lang.Object):50;5.201036246269784E-10
org.mockito$ArgumentCaptor#capture():105;3.331413110555757E-10
org.mockito$ArgumentCaptor#capture():106;3.331413110555757E-10
org.mockito.internal.invocation$ArgumentsComparator#varArgsMatch(org.mockito.internal.invocation.InvocationMatcher,org.mockito.invocation.Invocation):54;3.2972457374341027E-10
org.mockito.internal.invocation$ArgumentsComparator#varArgsMatch(org.mockito.internal.invocation.InvocationMatcher,org.mockito.invocation.Invocation):60;3.2972457374341027E-10
org.mockito.internal.invocation$InvocationMatcher#captureArgumentsFrom(org.mockito.invocation.Invocation):128;2.050816519741796E-10
org.mockito.internal.invocation$InvocationMatcher#captureArgumentsFrom(org.mockito.invocation.Invocation):129;2.050816519741796E-10
org.mockito.internal.stubbing.answers$AnswersValidator#validateMockingConcreteClass(org.mockito.internal.stubbing.answers.CallsRealMethods,org.mockito.internal.stubbing.answers.MethodInfo):55;1.8192640528200908E-10
org.mockito.internal.invocation$InvocationMatcher#captureArgumentsFrom(org.mockito.invocation.Invocation):120;1.4303983817207138E-10
org.mockito.internal.invocation$InvocationMatcher#captureArgumentsFrom(org.mockito.invocation.Invocation):121;1.4303983817207138E-10
org.mockito.internal.invocation$InvocationMatcher#captureArgumentsFrom(org.mockito.invocation.Invocation):127;1.4303983817207138E-10
org.mockito.internal.invocation$ArgumentsComparator#varArgsMatch(org.mockito.internal.invocation.InvocationMatcher,org.mockito.invocation.Invocation):48;7.189709197802528E-11
org.mockito.internal.invocation$ArgumentsComparator#varArgsMatch(org.mockito.internal.invocation.InvocationMatcher,org.mockito.invocation.Invocation):49;7.189709197802528E-11
org.mockito.internal.invocation$ArgumentsComparator#varArgsMatch(org.mockito.internal.invocation.InvocationMatcher,org.mockito.invocation.Invocation):51;7.189709197802528E-11
org.mockito.internal.stubbing.answers$AnswersValidator#validate(org.mockito.stubbing.Answer,org.mockito.invocation.Invocation):30;3.684710016648701E-11
org.mockito.internal.stubbing.answers$AnswersValidator#validateMockingConcreteClass(org.mockito.internal.stubbing.answers.CallsRealMethods,org.mockito.internal.stubbing.answers.MethodInfo):52;3.684710016648701E-11
org.mockito.internal.stubbing.answers$MethodInfo#isAbstract():70;3.684710016648701E-11
org.mockito$ArgumentCaptor#ArgumentCaptor(java.lang.Class):90;3.183872524271412E-11
org.mockito$ArgumentCaptor#ArgumentCaptor(java.lang.Class):65;3.183872524271412E-11
org.mockito$ArgumentCaptor#ArgumentCaptor(java.lang.Class):67;3.183872524271412E-11
org.mockito$ArgumentCaptor#ArgumentCaptor(java.lang.Class):91;3.183872524271412E-11
org.mockito$ArgumentCaptor#ArgumentCaptor(java.lang.Class):92;3.183872524271412E-11
org.mockito$ArgumentCaptor#forClass(java.lang.Class):171;3.183872524271412E-11
org.mockito$Matchers#argThat(org.hamcrest.Matcher):709;3.183872524271412E-11
org.mockito.internal.configuration$MockAnnotationProcessor#process(org.mockito.Mock,java.lang.reflect.Field):28;3.1541282376063686E-11
org.mockito.internal.matchers$CapturingMatcher#CapturingMatcher():16;2.8413213097965742E-11
org.mockito.internal.matchers$CapturingMatcher#CapturingMatcher():19;2.8413213097965742E-11
org.mockito.internal.invocation$InvocationMatcher#captureArgumentsFrom(org.mockito.invocation.Invocation):133;1.9842410179731585E-11
org.mockito.internal.invocation$ArgumentsComparator#argumentsMatch(org.mockito.internal.invocation.InvocationMatcher,java.lang.Object[]):23;9.706245462346385E-12
org.mockito.internal.configuration$MockAnnotationProcessor#process(org.mockito.Mock,java.lang.reflect.Field):20;4.462852093556234E-12
org.mockito$ArgumentCaptor#getValue():119;2.653754777677694E-12
org.mockito.internal.matchers$CapturingMatcher#getLastValue():40;2.653754777677694E-12
org.mockito.internal.invocation$ArgumentsComparator#varArgsMatch(org.mockito.internal.invocation.InvocationMatcher,org.mockito.invocation.Invocation):41;2.6350885812296885E-12
org.mockito.internal.invocation$ArgumentsComparator#varArgsMatch(org.mockito.internal.invocation.InvocationMatcher,org.mockito.invocation.Invocation):42;2.6350885812296885E-12
org.mockito.internal.invocation$ArgumentsComparator#varArgsMatch(org.mockito.internal.invocation.InvocationMatcher,org.mockito.invocation.Invocation):44;2.6350885812296885E-12
org.mockito.internal.util$MockCreationValidator#validateSerializable(java.lang.Class,boolean):61;1.957240746907192E-12
org.mockito.internal.matchers$Any#matches(java.lang.Object):22;1.8865653665741443E-12
org.mockito.internal.matchers$CapturingMatcher#getLastValue():36;1.500946352969988E-12
org.mockito.internal.util$MockCreationValidator#validateExtraInterfaces(java.lang.Class,java.util.Collection):31;4.033226573712586E-13
org.mockito.internal.util$MockCreationValidator#validateExtraInterfaces(java.lang.Class,java.util.Collection):34;4.033226573712586E-13
org.mockito.internal.creation$MockSettingsImpl#extraInterfaces(java.lang.Class[]):43;4.033226573712586E-13
org.mockito.internal.creation$MockSettingsImpl#extraInterfaces(java.lang.Class[]):47;4.033226573712586E-13
org.mockito.internal.creation$MockSettingsImpl#extraInterfaces(java.lang.Class[]):48;4.033226573712586E-13
org.mockito.internal.creation$MockSettingsImpl#extraInterfaces(java.lang.Class[]):50;4.033226573712586E-13
org.mockito.internal.creation$MockSettingsImpl#extraInterfaces(java.lang.Class[]):54;4.033226573712586E-13
org.mockito.internal.creation$MockSettingsImpl#extraInterfaces(java.lang.Class[]):55;4.033226573712586E-13
org.mockito.internal.util.collections$Sets#newSet(java.lang.Object[]):28;4.033226573712586E-13
org.mockito.internal.util.collections$Sets#newSet(java.lang.Object[]):31;4.033226573712586E-13
org.mockito.internal.invocation$ArgumentsProcessor#expandVarArgs(boolean,java.lang.Object[]):32;3.977686150287933E-13
org.mockito.internal.matchers$ArrayEquals#createObjectArray(java.lang.Object):67;2.1745483130032482E-13
org.mockito.internal.invocation$ArgumentsComparator#varArgsMatch(org.mockito.internal.invocation.InvocationMatcher,org.mockito.invocation.Invocation):45;2.1353931710042417E-13
org.mockito.internal.matchers$ArrayEquals#createObjectArray(java.lang.Object):68;2.0618599079411967E-13
org.mockito.internal.invocation$ArgumentsProcessor#expandVarArgs(boolean,java.lang.Object[]):26;1.7908609519036885E-13
org.mockito.internal.invocation$ArgumentsProcessor#expandVarArgs(boolean,java.lang.Object[]):28;1.7908609519036885E-13
org.mockito.internal.invocation$ArgumentsProcessor#expandVarArgs(boolean,java.lang.Object[]):34;1.7908609519036885E-13
org.mockito.internal.invocation$ArgumentsProcessor#expandVarArgs(boolean,java.lang.Object[]):35;1.7908609519036885E-13
org.mockito.internal.invocation$ArgumentsProcessor#expandVarArgs(boolean,java.lang.Object[]):36;1.7908609519036885E-13
org.mockito.internal.invocation$ArgumentsProcessor#expandVarArgs(boolean,java.lang.Object[]):37;1.7908609519036885E-13
org.mockito.internal.invocation$ArgumentsProcessor#expandVarArgs(boolean,java.lang.Object[]):38;1.7908609519036885E-13
org.mockito.internal.matchers$Any#Any():19;1.3887847909438365E-13
org.mockito.internal.matchers$Any#<clinit>():17;1.3887847909438365E-13
org.mockito.internal.util.collections$ArrayUtils#ArrayUtils():8;1.226859753220526E-13
org.mockito.internal.util.collections$ArrayUtils#isEmpty(java.lang.Object[]):11;1.226859753220526E-13
org.mockito.internal.creation$MockSettingsImpl#serializable():34;6.02209099910478E-14
org.mockito.internal.creation$MockSettingsImpl#prepareExtraInterfaces(org.mockito.internal.creation.settings.CreationSettings):188;6.02209099910478E-14
org.mockito.internal.util$MockCreationValidator#validateSerializable(java.lang.Class,boolean):60;3.7027054557800335E-14
org.mockito.internal.progress$HandyReturnValues#returnNull():24;1.1683706693115814E-15
org.mockito.internal.util$MockUtil#maybeRedefineMockName(java.lang.Object,java.lang.String):82;1.1469563364515542E-15
org.mockito.internal.util$MockUtil#maybeRedefineMockName(java.lang.Object,java.lang.String):84;1.1469563364515542E-15
org.mockito.internal.util$MockUtil#maybeRedefineMockName(java.lang.Object,java.lang.String):85;1.1469563364515542E-15
org.mockito.internal.util$MockUtil#maybeRedefineMockName(java.lang.Object,java.lang.String):87;1.1469563364515542E-15
org.mockito.internal.configuration.injection.scanner$MockScanner#preparedMock(java.lang.Object,java.lang.reflect.Field):73;1.1469563364515542E-15
org.mockito.internal.configuration.injection.scanner$MockScanner#preparedMock(java.lang.Object,java.lang.reflect.Field):74;1.1469563364515542E-15
org.mockito.internal.util$MockNameImpl#MockNameImpl(java.lang.String):27;1.1469563364515542E-15
org.mockito.internal.util$MockNameImpl#MockNameImpl(java.lang.String):28;1.1469563364515542E-15
org.mockito.internal.util$MockNameImpl#MockNameImpl(java.lang.String):29;1.1469563364515542E-15
org.mockito$Matchers#eq(int):484;1.075973998585662E-15
org.mockito.internal$MockitoCore#getLastInvocation():168;6.442870512941122E-16
org.mockito.internal$MockitoCore#getLastInvocation():169;6.442870512941122E-16
org.mockito.internal$MockitoCore#getLastInvocation():170;6.442870512941122E-16
org.mockito.internal.stubbing$OngoingStubbingImpl#getRegisteredInvocations():43;6.442870512941122E-16
org.mockito$Matchers#anyString():270;5.292450324182841E-16
org.mockito$Matchers#eq(java.lang.Object):523;3.9471205410301253E-16
org.mockito.internal.creation$MockSettingsImpl#serializable(org.mockito.mock.SerializableMode):38;3.1915286732555775E-16
org.mockito.internal.creation$MockSettingsImpl#serializable(org.mockito.mock.SerializableMode):39;3.1915286732555775E-16
org.mockito.internal.util$MockNameImpl#isDefault():42;9.668088911629689E-17
org.mockito.internal.progress$HandyReturnValues#returnString():32;5.911246780736384E-17
org.mockito.internal.progress$HandyReturnValues#returnFor(java.lang.Object):56;4.516650034977012E-17
org.mockito.internal.verification.checkers$MissingInvocationChecker#check(java.util.List,org.mockito.internal.invocation.InvocationMatcher):45;7.659896513010096E-18
org.mockito.internal.verification.checkers$NumberOfInvocationsChecker#check(java.util.List,org.mockito.internal.invocation.InvocationMatcher,int):43;5.606970464541422E-18
org.mockito.internal.progress$HandyReturnValues#returnFor(java.lang.Class):38;5.502943083310864E-18
org.mockito.internal.verification.checkers$NumberOfInvocationsChecker#NumberOfInvocationsChecker():25;5.193341481431647E-18
org.mockito.internal.verification.checkers$NumberOfInvocationsChecker#NumberOfInvocationsChecker():26;5.193341481431647E-18
org.mockito.internal.verification$Times#verify(org.mockito.internal.verification.api.VerificationData):38;5.193341481431647E-18
org.mockito.internal.verification$Times#verify(org.mockito.internal.verification.api.VerificationData):39;5.193341481431647E-18
org.mockito.internal.verification.checkers$NumberOfInvocationsChecker#check(java.util.List,org.mockito.internal.invocation.InvocationMatcher,int):48;4.462435405232014E-18
org.mockito.internal.verification.checkers$NumberOfInvocationsChecker#check(java.util.List,org.mockito.internal.invocation.InvocationMatcher,int):40;3.315026263180097E-18
org.mockito.internal.verification.checkers$NumberOfInvocationsChecker#NumberOfInvocationsChecker(org.mockito.exceptions.Reporter,org.mockito.internal.invocation.InvocationsFinder):28;3.0814393918920375E-18
org.mockito.internal.verification.checkers$NumberOfInvocationsChecker#NumberOfInvocationsChecker(org.mockito.exceptions.Reporter,org.mockito.internal.invocation.InvocationsFinder):22;3.0814393918920375E-18
org.mockito.internal.verification.checkers$NumberOfInvocationsChecker#NumberOfInvocationsChecker(org.mockito.exceptions.Reporter,org.mockito.internal.invocation.InvocationsFinder):29;3.0814393918920375E-18
org.mockito.internal.verification.checkers$NumberOfInvocationsChecker#NumberOfInvocationsChecker(org.mockito.exceptions.Reporter,org.mockito.internal.invocation.InvocationsFinder):30;3.0814393918920375E-18
org.mockito.internal.verification.checkers$NumberOfInvocationsChecker#NumberOfInvocationsChecker(org.mockito.exceptions.Reporter,org.mockito.internal.invocation.InvocationsFinder):31;3.0814393918920375E-18
org.mockito.internal.verification.checkers$NumberOfInvocationsChecker#check(java.util.List,org.mockito.internal.invocation.InvocationMatcher,int):34;3.0814393918920375E-18
org.mockito.internal.verification.checkers$NumberOfInvocationsChecker#check(java.util.List,org.mockito.internal.invocation.InvocationMatcher,int):36;3.0814393918920375E-18
org.mockito.internal.verification.checkers$NumberOfInvocationsChecker#check(java.util.List,org.mockito.internal.invocation.InvocationMatcher,int):37;3.0814393918920375E-18
org.mockito.internal.matchers$LocalizedMatcher#captureFrom(java.lang.Object):62;2.1577545661056907E-18
org.mockito.internal.matchers$LocalizedMatcher#captureFrom(java.lang.Object):65;2.1577545661056907E-18
org.mockito$Mockito#verify(java.lang.Object):1647;6.947811456450226E-19
org.mockito.internal.util$Primitives#defaultValueForPrimitiveOrWrapper(java.lang.Class):53;6.025966391583549E-19
org.mockito.internal.matchers$InstanceOf#matches(java.lang.Object):24;5.825347916465403E-19
org.mockito.internal.progress$HandyReturnValues#returnFor(java.lang.Class):40;4.746268258489118E-19
org.mockito.internal.verification$Times#verify(org.mockito.internal.verification.api.VerificationData):35;4.464221010953868E-19
org.mockito.internal.verification$Times#verify(org.mockito.internal.verification.api.VerificationData):36;4.464221010953868E-19
org.mockito$Matchers#reportMatcher(org.hamcrest.Matcher):809;3.8017707719772608E-19
org.mockito.internal.handler$NullResultGuardian#handle(org.mockito.invocation.Invocation):33;3.220426134839317E-19
org.mockito.internal.verification.checkers$MissingInvocationChecker#MissingInvocationChecker():23;2.463355240360511E-19
org.mockito.internal.verification.checkers$MissingInvocationChecker#MissingInvocationChecker():24;2.463355240360511E-19
org.mockito.internal.verification$Times#verify(org.mockito.internal.verification.api.VerificationData):40;2.356325902205848E-19
org.mockito.internal.verification.checkers$MissingInvocationChecker#check(java.util.List,org.mockito.internal.invocation.InvocationMatcher):32;2.3251805700119384E-19
org.mockito.internal.verification.checkers$MissingInvocationChecker#check(java.util.List,org.mockito.internal.invocation.InvocationMatcher):34;2.3251805700119384E-19
org.mockito.internal.progress$ArgumentMatcherStorageImpl#pullLocalizedMatchers():44;2.1649797482202406E-19
org.mockito.internal.progress$ArgumentMatcherStorageImpl#pullLocalizedMatchers():45;2.1649797482202406E-19
org.mockito.internal.progress$ArgumentMatcherStorageImpl#pullLocalizedMatchers():46;2.1649797482202406E-19
org.mockito.internal.invocation$MatchersBinder#validateMatchers(org.mockito.invocation.Invocation,java.util.List):32;2.1649797482202406E-19
