formula,metric_name,metric_value
tarantula,density,0.23104901308494122
tarantula,uniqueness,0.04258150365934797
tarantula,coverage,0.04590818363273453
ochiai,density,0.23104901308494122
ochiai,uniqueness,0.04258150365934797
ochiai,coverage,0.04590818363273453
opt,density,0.23104901308494122
opt,uniqueness,0.04258150365934797
opt,coverage,0.04590818363273453
barinel,density,0.23104901308494122
barinel,uniqueness,0.04258150365934797
barinel,coverage,0.04590818363273453
dstar,density,0.23104901308494122
dstar,uniqueness,0.04258150365934797
dstar,coverage,0.04590818363273453
