Line,Suspiciousness
org/mockito/internal/invocation/InvocationMatcher.java#124,3.0517578125E-5
org/mockito/Matchers.java#259,9.552194722495445E-6
org/mockito/internal/matchers/ArrayEquals.java#70,9.059696640000004E-6
org/mockito/internal/matchers/ArrayEquals.java#71,9.059696640000004E-6
org/mockito/internal/matchers/ArrayEquals.java#72,9.059696640000004E-6
org/mockito/internal/matchers/ArrayEquals.java#74,9.059696640000004E-6
org/mockito/internal/matchers/CapturingMatcher.java#45,1.966726781432726E-6
org/mockito/ArgumentCaptor.java#155,1.1150675100201022E-6
org/mockito/internal/stubbing/BaseStubbing.java#72,4.243338480591774E-8
org/mockito/internal/invocation/InvocationMatcher.java#122,2.1803178412032885E-8
org/mockito/internal/invocation/InvocationMatcher.java#123,2.1803178412032885E-8
org/mockito/internal/matchers/LocalizedMatcher.java#69,7.552230840701668E-9
org/mockito/internal/invocation/ArgumentsComparator.java#55,7.552230840701668E-9
org/mockito/internal/invocation/ArgumentsComparator.java#69,7.552230840701668E-9
org/mockito/internal/invocation/InvocationMatcher.java#130,6.23800220708831E-9
org/mockito/internal/invocation/ArgumentsComparator.java#64,1.0385685465197641E-9
org/mockito/internal/matchers/LocalizedMatcher.java#63,8.275265038445722E-10
org/mockito/internal/matchers/CapturingMatcher.java#25,8.275265038445722E-10
org/mockito/Matchers.java#200,6.215382992148072E-10
org/mockito/internal/matchers/CapturingMatcher.java#49,5.201036246269784E-10
org/mockito/internal/matchers/CapturingMatcher.java#50,5.201036246269784E-10
org/mockito/ArgumentCaptor.java#105,3.331413110555757E-10
org/mockito/ArgumentCaptor.java#106,3.331413110555757E-10
org/mockito/internal/invocation/ArgumentsComparator.java#54,3.2972457374341027E-10
org/mockito/internal/invocation/ArgumentsComparator.java#60,3.2972457374341027E-10
org/mockito/internal/invocation/InvocationMatcher.java#128,2.050816519741796E-10
org/mockito/internal/invocation/InvocationMatcher.java#129,2.050816519741796E-10
org/mockito/internal/stubbing/answers/AnswersValidator.java#55,1.8192640528200908E-10
org/mockito/internal/invocation/InvocationMatcher.java#120,1.4303983817207138E-10
org/mockito/internal/invocation/InvocationMatcher.java#121,1.4303983817207138E-10
org/mockito/internal/invocation/InvocationMatcher.java#127,1.4303983817207138E-10
org/mockito/internal/invocation/ArgumentsComparator.java#48,7.189709197802528E-11
org/mockito/internal/invocation/ArgumentsComparator.java#49,7.189709197802528E-11
org/mockito/internal/invocation/ArgumentsComparator.java#51,7.189709197802528E-11
org/mockito/internal/stubbing/answers/AnswersValidator.java#30,3.684710016648701E-11
org/mockito/internal/stubbing/answers/AnswersValidator.java#52,3.684710016648701E-11
org/mockito/internal/stubbing/answers/MethodInfo.java#70,3.684710016648701E-11
org/mockito/ArgumentCaptor.java#90,3.183872524271412E-11
org/mockito/ArgumentCaptor.java#65,3.183872524271412E-11
org/mockito/ArgumentCaptor.java#67,3.183872524271412E-11
org/mockito/ArgumentCaptor.java#91,3.183872524271412E-11
org/mockito/ArgumentCaptor.java#92,3.183872524271412E-11
org/mockito/ArgumentCaptor.java#171,3.183872524271412E-11
org/mockito/Matchers.java#709,3.183872524271412E-11
org/mockito/internal/configuration/MockAnnotationProcessor.java#28,3.1541282376063686E-11
org/mockito/internal/matchers/CapturingMatcher.java#16,2.8413213097965742E-11
org/mockito/internal/matchers/CapturingMatcher.java#19,2.8413213097965742E-11
org/mockito/internal/invocation/InvocationMatcher.java#133,1.9842410179731585E-11
org/mockito/internal/invocation/ArgumentsComparator.java#23,9.706245462346385E-12
org/mockito/internal/configuration/MockAnnotationProcessor.java#20,4.462852093556234E-12
org/mockito/ArgumentCaptor.java#119,2.653754777677694E-12
org/mockito/internal/matchers/CapturingMatcher.java#40,2.653754777677694E-12
org/mockito/internal/invocation/ArgumentsComparator.java#41,2.6350885812296885E-12
org/mockito/internal/invocation/ArgumentsComparator.java#42,2.6350885812296885E-12
org/mockito/internal/invocation/ArgumentsComparator.java#44,2.6350885812296885E-12
org/mockito/internal/util/MockCreationValidator.java#61,1.957240746907192E-12
org/mockito/internal/matchers/Any.java#22,1.8865653665741443E-12
org/mockito/internal/matchers/CapturingMatcher.java#36,1.500946352969988E-12
org/mockito/internal/util/MockCreationValidator.java#31,4.033226573712586E-13
org/mockito/internal/util/MockCreationValidator.java#34,4.033226573712586E-13
org/mockito/internal/creation/MockSettingsImpl.java#43,4.033226573712586E-13
org/mockito/internal/creation/MockSettingsImpl.java#47,4.033226573712586E-13
org/mockito/internal/creation/MockSettingsImpl.java#48,4.033226573712586E-13
org/mockito/internal/creation/MockSettingsImpl.java#50,4.033226573712586E-13
org/mockito/internal/creation/MockSettingsImpl.java#54,4.033226573712586E-13
org/mockito/internal/creation/MockSettingsImpl.java#55,4.033226573712586E-13
org/mockito/internal/util/collections/Sets.java#28,4.033226573712586E-13
org/mockito/internal/util/collections/Sets.java#31,4.033226573712586E-13
org/mockito/internal/invocation/ArgumentsProcessor.java#32,3.977686150287933E-13
org/mockito/internal/matchers/ArrayEquals.java#67,2.1745483130032482E-13
org/mockito/internal/invocation/ArgumentsComparator.java#45,2.1353931710042417E-13
org/mockito/internal/matchers/ArrayEquals.java#68,2.0618599079411967E-13
org/mockito/internal/invocation/ArgumentsProcessor.java#26,1.7908609519036885E-13
org/mockito/internal/invocation/ArgumentsProcessor.java#28,1.7908609519036885E-13
org/mockito/internal/invocation/ArgumentsProcessor.java#34,1.7908609519036885E-13
org/mockito/internal/invocation/ArgumentsProcessor.java#35,1.7908609519036885E-13
org/mockito/internal/invocation/ArgumentsProcessor.java#36,1.7908609519036885E-13
org/mockito/internal/invocation/ArgumentsProcessor.java#37,1.7908609519036885E-13
org/mockito/internal/invocation/ArgumentsProcessor.java#38,1.7908609519036885E-13
org/mockito/internal/matchers/Any.java#19,1.3887847909438365E-13
org/mockito/internal/matchers/Any.java#17,1.3887847909438365E-13
org/mockito/internal/util/collections/ArrayUtils.java#8,1.226859753220526E-13
org/mockito/internal/util/collections/ArrayUtils.java#11,1.226859753220526E-13
org/mockito/internal/creation/MockSettingsImpl.java#34,6.02209099910478E-14
org/mockito/internal/creation/MockSettingsImpl.java#188,6.02209099910478E-14
org/mockito/internal/util/MockCreationValidator.java#60,3.7027054557800335E-14
org/mockito/internal/progress/HandyReturnValues.java#24,1.1683706693115814E-15
org/mockito/internal/util/MockUtil.java#82,1.1469563364515542E-15
org/mockito/internal/util/MockUtil.java#84,1.1469563364515542E-15
org/mockito/internal/util/MockUtil.java#85,1.1469563364515542E-15
org/mockito/internal/util/MockUtil.java#87,1.1469563364515542E-15
org/mockito/internal/configuration/injection/scanner/MockScanner.java#73,1.1469563364515542E-15
org/mockito/internal/configuration/injection/scanner/MockScanner.java#74,1.1469563364515542E-15
org/mockito/internal/util/MockNameImpl.java#27,1.1469563364515542E-15
org/mockito/internal/util/MockNameImpl.java#28,1.1469563364515542E-15
org/mockito/internal/util/MockNameImpl.java#29,1.1469563364515542E-15
org/mockito/Matchers.java#484,1.075973998585662E-15
org/mockito/internal/MockitoCore.java#168,6.442870512941122E-16
org/mockito/internal/MockitoCore.java#169,6.442870512941122E-16
org/mockito/internal/MockitoCore.java#170,6.442870512941122E-16
org/mockito/internal/stubbing/OngoingStubbingImpl.java#43,6.442870512941122E-16
org/mockito/Matchers.java#270,5.292450324182841E-16
org/mockito/Matchers.java#523,3.9471205410301253E-16
org/mockito/internal/creation/MockSettingsImpl.java#38,3.1915286732555775E-16
org/mockito/internal/creation/MockSettingsImpl.java#39,3.1915286732555775E-16
org/mockito/internal/util/MockNameImpl.java#42,9.668088911629689E-17
org/mockito/internal/progress/HandyReturnValues.java#32,5.911246780736384E-17
org/mockito/internal/progress/HandyReturnValues.java#56,4.516650034977012E-17
org/mockito/internal/verification/checkers/MissingInvocationChecker.java#45,7.659896513010096E-18
org/mockito/internal/verification/checkers/NumberOfInvocationsChecker.java#43,5.606970464541422E-18
org/mockito/internal/progress/HandyReturnValues.java#38,5.502943083310864E-18
org/mockito/internal/verification/checkers/NumberOfInvocationsChecker.java#25,5.193341481431647E-18
org/mockito/internal/verification/checkers/NumberOfInvocationsChecker.java#26,5.193341481431647E-18
