formula,metric_name,metric_value
tarantula,density,0.16452370062677346
tarantula,uniqueness,0.21728157673356568
tarantula,coverage,0.014902055041461363
ochiai,density,0.16452370062677346
ochiai,uniqueness,0.21728157673356568
ochiai,coverage,0.014902055041461363
opt,density,0.16452370062677346
opt,uniqueness,0.21728157673356568
opt,coverage,0.014902055041461363
barinel,density,0.16452370062677346
barinel,uniqueness,0.21728157673356568
barinel,coverage,0.014902055041461363
dstar,density,0.16452370062677346
dstar,uniqueness,0.21728157673356568
dstar,coverage,0.014902055041461363
