formula,metric_name,metric_value
tarantula,density,0.15354368840879326
tarantula,uniqueness,0.25072690673227466
tarantula,coverage,0.014761798255423843
ochiai,density,0.15354368840879326
ochiai,uniqueness,0.25072690673227466
ochiai,coverage,0.014761798255423843
opt,density,0.15354368840879326
opt,uniqueness,0.25072690673227466
opt,coverage,0.014761798255423843
barinel,density,0.15354368840879326
barinel,uniqueness,0.25072690673227466
barinel,coverage,0.014761798255423843
dstar,density,0.15354368840879326
dstar,uniqueness,0.25072690673227466
dstar,coverage,0.014761798255423843
