formula,metric_name,metric_value
tarantula,density,0.15062272604907168
tarantula,uniqueness,0.26526514704145504
tarantula,coverage,0.014999409472068029
ochiai,density,0.15062272604907168
ochiai,uniqueness,0.26526514704145504
ochiai,coverage,0.014999409472068029
opt,density,0.15062272604907168
opt,uniqueness,0.26526514704145504
opt,coverage,0.014999409472068029
barinel,density,0.15062272604907168
barinel,uniqueness,0.26526514704145504
barinel,coverage,0.014999409472068029
dstar,density,0.15062272604907168
dstar,uniqueness,0.26526514704145504
dstar,coverage,0.014999409472068029
